document_id,engine,ground_truth,ocr_text,cer,wer,time_ms
AHTD3A0001_Para1_3,Tesseract,طفنا وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها,يتحار رت لد 7 يرا الى خارل رك الطر ور بحكا و : حير فُْ ما اها مر,0.6901,1.2857,377
AHTD3A0001_Para1_3,EasyOCR,طفنا وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها,دثلاات ل 91راو بتا وحو ا سفومعا حح مله . انهال د الطدء,0.8028,1.0,10078
AHTD3A0001_Para1_3,PaddleOCR,طفنا وسعينا مع شيخ. كان جاري في الخيمة يتكلم وهو نائم  بكلمات لا أفهمها,ًاالتاج ركيي ةعيضلا ي هيرص وعهو,0.8028,1.0,1537
AHTD3A0001_Para1_4,Tesseract,مثل انكد بغلس له الدابط لزمتك.   سألت راجح هل بلغ أصحابنا,صثل انشص ججلسرله الفابها لمكلك. مأل راع حل بلق رأصهابرا,0.4035,1.0,297
AHTD3A0001_Para1_4,EasyOCR,مثل انكد بغلس له الدابط لزمتك.   سألت راجح هل بلغ أصحابنا,بر`ا معل انقف جحلس ه الصابا لصء سالف اباج هل بلغ آصها,0.5263,0.9091,6438
AHTD3A0001_Para1_4,PaddleOCR,مثل انكد بغلس له الدابط لزمتك.   سألت راجح هل بلغ أصحابنا,اجدم لب له كنصرل هحار تلأس طب ضلا  سلحج لح رب نمعرا,0.7719,1.0909,123
AHTD3A0001_Para2_1laaa,Tesseract,فآن الله تعالى خلك الخلك برحمته، ومن على عباضه بفدله وكرمه ورزكهم[;],جا د: الاد تحال خلال رئط ‏ وت كال كبيادم بففله ورد وي رصم,0.5882,1.1667,321
AHTD3A0001_Para2_1laaa,EasyOCR,فآن الله تعالى خلك الخلك برحمته، ومن على عباضه بفدله وكرمه ورزكهم[;],/9 = جمئ^  وم2عال عبادم مفصله و7مه فاد اللح تحال حلف الخلف _,0.8088,1.0833,7654
AHTD3A0001_Para2_1laaa,PaddleOCR,فآن الله تعالى خلك الخلك برحمته، ومن على عباضه بفدله وكرمه ورزكهم[;],هلصعم فلخ لاحت هتمحرب دإف همرو ورايك مو قللا هللا رو مك,0.7794,1.0,705
AHTD3A0001_Para2_2,Tesseract,ما يكضرون به على آصح معايشهم في الضنيا، ويضركون به استنكذا أرواحهم[;],ماوهّدرون > عاى اد برعا رنب بصي اد نيا َ ودركوّن به استَنمرا اروامم,0.4928,1.0833,336
AHTD3A0001_Para2_2,EasyOCR,ما يكضرون به على آصح معايشهم في الضنيا، ويضركون به استنكذا أرواحهم[;],9/ استلدذا الد را ن وجدرلون عاس واصادح صعا حقدون به ابشء جه,0.7971,1.0,7284
AHTD3A0001_Para2_2,PaddleOCR,ما يكضرون به على آصح معايشهم في الضنيا، ويضركون به استنكذا أرواحهم[;],اذقتسا هب همور نوردقياام,0.8116,1.0,166
AHTD3A0001_Para2_3,Tesseract,من العذاب في ا[laam]خر[tee]، وأفدل ما رزكهم الله تعالى ومن به عليهم بالعكل الذي هو ضعام[tee][;],"بن الطاب عرز ا ليزم او طَص لحا صر الله نا ل عتئ ب"" كليم بالكل ١رزي‏ حردك م",0.6316,1.125,284
AHTD3A0001_Para2_3,EasyOCR,من العذاب في ا[laam]خر[tee]، وأفدل ما رزكهم الله تعالى ومن به عليهم بالعكل الذي هو ضعام[tee][;],"م٨ بالح6ل الدل الل4 سعال وحى به اطات ى الاقحة اط خضل ماررف ,|>2)@` كلجام",0.7789,1.0,6751
